"veh_id","Price","Acceleration","OpCost","hev","phev20","phev40","bev","bevRangeRel","noBEVFC","american","chinese","japanese","skorean","icev_nest_indicator","hev_nest_indicator","phev_nest_indicator","bev_nest_indicator","created_alternative"
"BMW_1552_car",23.3154594410043,10.8643095631687,8.78956770861441,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1553_car",31.4320473681518,7.86841575586207,9.09479249319673,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1554_car",23.095689023615,10.8643095631687,8.89547476731856,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1555_car",30.996705707952,6.35790502482259,9.22407450232141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1556_car",70.181164963384,5.01730626066581,10.2806376372653,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BMW_1557_car",67.3058530637786,4.74806200624335,9.97124601094408,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BMW_1558_car",109.552761364187,3.58126300679564,12.8103271328521,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1559_car",35.945167558395,4.76000452079665,11.137374146909,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1560_car",56.2386316711163,6.13579668900421,12.6468131168182,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1561_car",61.3109349438446,5.25607878041836,11.5406092459078,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1562_car",43.0761120884699,6.67483816689609,9.49155828093201,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1563_car",31.7264698311213,7.43216163672451,8.75767256830495,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1564_car",23.3086479182703,10.8645990265996,8.17614581920638,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1565_car",31.4215399322703,7.86874118955266,8.64481345522741,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1566_car",23.0849674332373,10.8648460718361,8.32161346118049,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1567_car",31.3110468640504,6.35790502482259,8.91480206577548,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1568_car",56.2487507256333,5.74382372421901,11.7719660014032,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1569_car",70.4464857015958,3.71888607376008,12.1128121352706,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1570_car",51.185178595576,6.39271085222176,10.2565299810758,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1571_car",57.8161829472591,5.14406614099317,10.4002414396997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1572_car",389.434273151635,4.24866925840332,11.2073015095878,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1573_car",534.078786507883,4.54372715082877,12.1432472011564,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1574_car",125.659526301116,4.47060358968324,10.4640735463334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1575_car",93.4997558909849,5.99162438158136,9.12145931722867,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1576_car",65.9861872367793,3.02915600344663,9.36042063236271,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1577_car",79.7693908630612,3.16195995219329,9.83382708094937,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1578_car",63.4230814249898,2.94256488680293,9.05040609106609,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1579_car",54.1326225277484,4.08568210344719,8.69451968390137,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1580_car",51.9972515593811,2.92367452479233,8.1176979602566,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1581_car",68.0597819411594,2.30472130465872,10.8250930689008,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1582_car",54.5281725702475,3.95271081383493,8.20824979771935,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1583_car",58.9961974753971,3.7357602146766,8.96614700196043,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1584_car",49.2367905539459,4.01674079372907,9.8056029684006,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1585_car",45.4559984516949,2.90974204777269,8.78003204631183,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1586_car",71.3646924524785,3.66423852215096,9.76174060406444,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1587_car",68.3497760102683,3.49130063042905,8.9375747941075,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1588_car",120.204454628167,2.31196942346587,11.8951534646712,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1589_car",47.5344267886383,2.84258821331201,7.01856493098849,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1590_car",86.2929257742642,3.3720364134793,10.7665421367215,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1591_car",52.4525699966744,4.78286396254368,9.1258778384652,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1592_car",85.6434309348547,3.17244270230035,10.1603243575931,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1593_car",41.6257390654535,3.26475682019264,8.17800890347338,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1594_car",41.9098674671212,3.3565358290574,8.51892753195181,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1595_car",38.668340849987,4.41903382326459,8.52635757053503,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1596_car",46.7034830972555,2.88861052783856,8.74936160402833,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1597_car",65.9166162501191,3.24102501030198,10.593849937293,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1598_car",64.6119797988799,3.82636168812129,9.0912440854138,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1599_car",40.5559808374163,3.09386515556206,7.96173009247234,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1600_car",31.973258669892,3.85417757442443,7.61955764997054,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1601_car",40.329329308054,3.09783655796256,7.95209659934099,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1602_car",31.776488232268,3.85361541314592,7.71096979925068,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1603_car",40.9004006054367,2.51075493675309,8.22478186499394,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1604_car",79.6569103594011,3.16314196879248,9.3890064848472,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1605_car",76.3366399356469,2.9895657066701,9.27631326789679,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1606_car",120.271756228899,2.25988571465639,11.873111181901,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1607_car",46.4606968166979,2.99967224773703,9.48090471601709,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"BMW_1608_car",66.7277593617586,3.86812969397544,10.3576884687216,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
