"Class_1","Class_2","model"
-12.0147320776407,-8.70448789548945,-8.97496655372407
-10.3508718576455,-8.11325800241525,-8.4037485750149
-1.50910438095811,-2.43469555242328,-1.70130516593385
-63.1660914680115,-54.0615665398508,-55.2069507393038
-44.6483834485771,-28.9518375207966,-30.0619365349081
-5.48401144242481,-3.45115671176079,-3.54832567615521
-5.95465490649719,-3.41980833651086,-3.55883302432993
-14.6530003489957,-11.1904630720881,-11.7283846702365
-18.9903276767208,-12.008756314598,-12.4849073774378
-5.55375140923659,-3.58450285761748,-3.72333863916087
-15.7858021953214,-13.9217047174211,-14.2099480368702
-2.38220686262184,-2.84716832089577,-2.55043194505805
-1.23953297049308,-2.62429889712839,-1.43462069695987
-5.62955377420947,-5.32756990372862,-5.41778287080923
-3.98190042019691,-3.35971596263553,-3.47803839833001
-1.35994989292824,-2.04998721536491,-1.54511421385018
-11.033253916318,-18.8834362949265,-12.0189048981824
-2.03769966003562,-3.31549061510372,-2.28815756949236
-3.41550785614225,-3.02347246622511,-3.10160797221339
-1.32159500959633,-3.07465530802926,-1.58844322401324
-16.3887214286157,-10.7717543672839,-11.1092086782888
-3.06305023583214,-4.746524766696,-3.47367205423359
-4.66951883632829,-3.9985954447411,-4.16227579843093
-7.84251786008812,-4.20707023143771,-4.34612657831769
-9.71987144765261,-9.17133054209624,-9.32402380433067
-6.48691881573116,-6.55028464947864,-6.52539865065521
-3.35058936266128,-2.55675649954218,-2.64894249068227
-4.48417807170456,-3.23781073001698,-3.33469552979867
-3.27093194956187,-2.06116069122438,-2.15798898729217
-7.90337826978457,-8.90241637495165,-8.32343507912944
-5.61615508601468,-15.6703068939803,-6.97010666541258
-13.1330630644462,-7.92782634578557,-8.08740490062971
-23.6107550978028,-17.4777917276743,-17.9416378347354
-7.98929233423235,-3.92086612681913,-4.05992306832097
-7.70306895837237,-7.51091269861245,-7.57373443598244
-4.00028826535193,-6.3175766718408,-4.45751993570943
-11.7645309947074,-6.53503743385569,-6.80657368978863
-20.0041003781887,-14.1611348150512,-14.5922804043018
-2.48396224750001,-2.38593764173965,-2.41958663838224
-9.92094138630682,-8.48200893090891,-8.80613603685088
-100.852275296088,-46.7650717807341,-49.1263486101739
-2.81970188971713,-3.04227983203767,-2.93515259227715
-5.00025462589896,-7.77215710542073,-5.41243198293041
-37.2428857862433,-20.2501106355751,-20.7151282542687
-10.982268434801,-9.50027635994608,-9.7904639318772
-15.4038155254558,-9.9390896662454,-10.397954229375
-3.06496867462124,-5.42451624873221,-3.48725564441218
-2.78001590466326,-4.28500248408742,-3.18330208970128
-24.3655004415973,-27.5477441451369,-25.7079351695529
-5.38372004575269,-13.1274949554674,-6.48806997397767
-2.64821726782153,-3.11956863194953,-2.84581586981179
-7.12276095959051,-6.27322797346982,-6.48311625803156
-8.1097511180943,-14.5479663375909,-9.09326582984309
-3.33330320921533,-7.81653470345976,-3.91083294196509
-3.56614281311096,-4.32842947512182,-3.819307101801
-7.26135635452239,-4.43349123989904,-4.52794464588815
-25.3189940998339,-14.7342368002531,-15.1363051238357
-37.5431576243769,-45.3492917521363,-40.3177174733264
-5.8809782758321,-3.98771491722061,-4.1101700714671
-5.85881802887598,-5.72854381112604,-5.77314302853464
-28.0726931836658,-64.7979966906406,-32.9526846325261
-5.75202135656233,-10.9574540798947,-6.5807461856338
-8.6687263834229,-4.38572680902087,-4.52478384233504
-2.0221824025507,-2.29614426304111,-2.14731703228609
-1.87096232405762,-2.75653737715226,-2.06245841500315
-3.89055632810316,-8.19134940707761,-4.46790516136274
-18.9680772731919,-11.9140865013649,-12.3902793830065
-17.2523872316852,-24.7283199576121,-19.2062802538686
-3.53738841633395,-6.37501220802671,-3.96282622298417
-1.71094365424203,-2.06840828574073,-1.85740172539559
-2.64407647813212,-3.94134771566728,-2.89448206204479
-3.70722536801729,-5.99098357770744,-4.30301518325299
-2.88862708392621,-3.05509598886859,-2.97549537171809
-10.6031679284999,-6.35527399121796,-6.59397944426938
-9.21920103382979,-11.6172339765837,-10.1614293239145
-1.00087633133016,-2.9618184963343,-1.20189624109728
-6.75652486819166,-3.17624841729219,-3.27070190858167
-2.89620401213874,-6.00859432867308,-3.30893171202359
-14.6691416830294,-8.18666746894464,-8.41019889683952
-7.96868304189966,-14.2736897603906,-8.920003653175
-8.40355543418594,-11.9898790729935,-9.09424941762117
-15.9010645877999,-22.215940487087,-17.3275776566794
-10.2730403084477,-11.8707028128099,-10.9522528494231
-7.62253134231699,-6.15684238468122,-6.35351210360689
-0.650104027089088,-2.52792599498587,-0.845489828345313
-34.1139064074074,-19.3295473813813,-20.1913687872986
-1.94122824198525,-2.17202414222716,-2.06003892376167
-3.61021088168965,-5.54357015943627,-4.13996116972363
-2.39417375130312,-4.53643506890799,-2.66487610683271
-6.76055250371395,-9.52326250462901,-7.61958160055391
-16.4640917881198,-8.929968946565,-9.13612981280414
-3.33835259413034,-3.84576085646434,-3.54391979791995
-27.1925167677111,-27.4327360152398,-27.339595561847
-4.55467431042012,-5.05166585919171,-4.7952059006877
-2.27702063224266,-4.50012924353159,-2.73238178279362
-2.84141830104794,-4.06898202175742,-3.10393477653966
-4.42249687359356,-4.42247126670178,-4.42248090524862
-20.3839101748834,-13.5359564887218,-13.9964732421097
-2.63983311825579,-2.58673640679308,-2.60554959916323
-1.39486060083256,-2.81451727070231,-1.67865069644799
-2.3704044449989,-7.76665974210706,-2.9321825973131
-48.0138259145599,-28.1762551012014,-29.1720647407931
-4.72563882968261,-2.25493924220744,-2.34939221464158
-9.78063368561125,-6.08648018456023,-6.29258539730532
-2.36498941003358,-2.41940682068731,-2.39715134039901
-2.21612017295797,-8.64382414694023,-2.84100572761439
-6.8674549177822,-6.63355642604315,-6.70763283737677
-0.939213705763135,-2.20579977915562,-1.13403936392864
-17.2121996015353,-13.6868413513939,-14.2424194086272
-37.1636514841163,-17.6963079291451,-18.1635165428251
-5.41016454998503,-5.23121533623322,-5.29013551423149
-3.97759699181324,-6.16893048527873,-4.46436764950332
-2.74676384593013,-4.84083766650591,-3.14946765384381
-3.87207804625575,-3.05707693251818,-3.17283708946186
-11.4025298440778,-24.935472777133,-13.4572658151351
-2.6632736195967,-3.40925459780082,-2.87726243461719
-150.825491841808,-81.3577488729826,-83.7190834143903
-2.95378100599277,-4.3711089605657,-3.33858686634697
-10.2397763288851,-12.2174966685403,-11.1201412452025
-2.73629347823263,-3.41878259669919,-2.96040417777502
-2.08454919733911,-5.30212624975093,-2.50197831548037
