"stage","candidate","LL","gradNorm","mu_b_Price","sigma_b_Price","mu_b_Acceleration","sigma_b_Acceleration","mu_b_OpCost","sigma_b_OpCost","mu_b_hev","sigma_b_hev","mu_b_phev20","sigma_b_phev20","mu_b_phev40","sigma_b_phev40","mu_b_bev","sigma_b_bev","mu_b_bevRangeRel","sigma_b_bevRangeRel","mu_b_noBEVFC","sigma_b_noBEVFC","mu_b_american","sigma_b_american","mu_b_chinese","sigma_b_chinese","mu_b_japanese","sigma_b_japanese","mu_b_skorean","sigma_b_skorean"
3,79,-8197.61473019003,25.7816107435697,-0.113373436004106,0.0889795015938759,-0.145453782419411,-0.105515828970277,-0.180639979783462,-0.154401486119423,0.152784937644628,0.421377165622813,0.078676416237796,-0.275630684706524,0.214396983272508,0.360337623505399,-0.292914394780855,1.44177434039826,0.488963258869369,0.48890534060047,-0.411025413899678,-0.192760304880249,-0.144980695775879,-0.720630958354063,-1.91368967215312,-2.02915055261951,-0.0513295703032216,0.487597365790907,-0.527552947415407,-0.710488180865543
3,80,-8167.97380623772,144.561762811656,-0.115676650028239,-0.0740574342255463,-0.148712424636097,0.115017974283184,-0.189942223095377,-0.132241881891122,0.0931939365693668,-0.212426129529008,-0.0271916501890464,0.0230666080859665,0.14884991935958,-0.0383776051445143,-0.442669355478424,-1.35501509516974,0.517260047332225,-0.492223090106414,-0.376743310851792,-0.122426056314797,-0.0527386788799973,-0.624425865925169,-2.03757686976219,-1.91698507587488,-0.118152067981334,0.664193060954858,-0.529205029367332,0.622712450004243
3,81,-8418.91746831701,1376.16011196035,-0.121243736678753,0.080065600772474,-0.236506553555006,0.165195406746235,-0.206688508273542,0.257632984497788,0.606312611393657,1.26787572961999,0.167801181428995,-0.467100912880232,0.602857669404607,0.507833790276893,0.229745133335367,1.55465564669338,0.652153792441134,0.645993292126617,-0.670436282240979,1.33310656308127,0.0551963463307571,1.05999176867184,-1.9660113811,1.98882133162759,0.0280109346740591,0.168679574133215,-0.373576149843719,-0.602987385721542
3,82,-8119.71133801542,260.844503393214,-0.118798614279123,0.0809247368144058,-0.141627464358778,0.177065142240212,-0.185588106247588,0.160004482287408,0.117119539670108,-0.481540754045887,-0.0226106111844378,0.189325585098711,0.148226105309358,-0.064029269719166,-0.25779019177592,-1.34537762665472,0.540174259430892,0.604471997308235,-0.361972854875627,-0.236222251577801,-0.220748545797732,-0.552772783868581,-1.89231820368722,1.99604975480216,-0.00826698706825461,0.644599887245635,-0.635938513833902,-0.601965048785566
3,83,-8164.40947842562,219.535138940413,-0.112873388804719,-0.0815652348704153,-0.163729569642658,-0.138044365158163,-0.18807095241535,0.138692466842978,0.0506497867435902,0.293135454250819,0.0168427087124436,-0.143561430434451,0.151525488368433,0.0312121635592694,-0.388403272627975,-1.46957370402901,0.484178889006229,-0.450133309682146,-0.332125643606338,-0.300623746576911,-0.172444161042346,-0.623711857422822,-2.15898394867638,-1.85950455609272,-0.173900312026472,0.764431560405741,-0.570739557003537,0.118020716458828
3,84,-8126.96217195167,111.826983940129,-0.119065717067082,0.0828059109743247,-0.147545837063251,-0.170196054241163,-0.183634617967585,-0.146586814052152,0.0602974099038415,0.319824327472868,-0.0109373040351608,-0.291568076562769,0.148625250027463,0.166991635289038,-0.342098081404436,-1.46931200170678,0.496831089582995,-0.543395818141543,-0.426488937358662,-0.0147168242664128,-0.169899810365807,-0.707210096314666,-2.17976291159081,-2.07165706881096,-0.0861135498888505,0.657282755990638,-0.514466619655756,-0.354683783696354
3,85,-8167.73317902642,35.4334690322801,-0.116570951060851,-0.0775206346061278,-0.140296771671109,0.121835124287044,-0.195425038538415,-0.154778784081696,0.0555043915177881,-0.269775894416106,0.00222482636527182,0.048883677606403,0.182544642059598,-0.261674240585975,-0.372534594640286,1.50489821650384,0.529746725717025,-0.501833410903919,-0.415465858080811,-0.328180496667156,-0.105155250896097,-0.729309032108097,-2.02202716793581,-1.83572496614899,-0.0112960634987049,0.442115679201855,-0.563390141214176,0.666090103186463
3,86,-8161.64638525735,127.698222467979,-0.108550179148644,-0.078422435176614,-0.141797046237858,-0.15569502839125,-0.183586950463022,-0.163728872870637,0.0457282460344201,0.561483055123458,-0.10197961509656,0.269993616800141,0.0980641719384414,-0.0916168437718071,-0.381501994141621,1.50598100147969,0.473386446130815,0.521034061328377,-0.429331905374576,-0.186969452221586,-0.0551401086030508,-0.442242252410283,-1.82735697587177,1.82529394657967,0.0146728617503744,-0.76693621921363,-0.447534451267444,0.502811966543184
3,87,-8199.89792631189,235.611106621592,-0.112756880710406,0.0820107426086873,-0.132820000955602,0.147649881254752,-0.179803472662222,0.140663822838056,0.120603893278887,-0.40270145660797,0.0119825929256089,0.121887555322196,0.188396092437096,0.00108683493600977,-0.237595320392183,1.40664683480847,0.503052204434851,-0.467882169181184,-0.420169885977755,-0.3110486406879,-0.138160985773519,0.484872114787941,-1.9863043117779,1.86185230046015,-0.0495442548121368,0.644156549673839,-0.518944946593914,-0.373710467954592
3,88,-8123.22774663593,248.791421701013,-0.125562303156243,0.082134737770262,-0.141667384583003,-0.207610988475982,-0.198795033710633,0.151144706938527,0.103897194487406,0.528024111175046,-0.0121974456995368,0.0104247112636155,0.197056335903749,0.0826949191126917,-0.206341465916184,-1.46368978575018,0.49509789988767,-0.549030388257165,-0.45229688533678,0.134678236128192,-0.197690543377325,0.95254382311525,-2.10030145688615,-2.06415541638735,-0.109737879245897,0.671996118650492,-0.55992463143194,-0.0767499631936
